SN	IP-List	FirstDate	LastDate	Type
106	211.62.228.138	2020-03-24	2020-03-24	C2 Server
107	93.90.74.60	2020-03-24	2020-03-24	C2 Server
108	175.206.7.120	2020-03-24	2020-03-24	C2 Server
109	210.216.41.200	2020-03-24	2020-03-24	C2 Server
110	123.193.78.9	2020-04-10	2020-04-10	C2 Server
111	103.56.115.155	2020-04-10	2020-04-10	C2 Server
112	112.199.171.67	2020-04-10	2020-04-10	C2 Server
113	139.162.117.50	2020-04-10	2020-04-10	C2 Server
114	138.75.60.166	2020-04-10	2020-04-10	C2 Server
115	172.111.188.199	2020-05-06	2020-05-06	C2 Server
116	211.115.93.85	2020-05-07	2020-05-07	C2 Server
117	67.198.130.66	2020-05-15	2020-05-15	Ransomware
118	144.34.206.57	2020-05-15	2020-05-15	Ransomware
119	42.3.63.80	2020-05-15	2020-05-15	Ransomware
120	64.64.234.24	2020-05-15	2020-05-15	Ransomware
121	172.96.238.154	2020-05-15	2020-05-15	Ransomware
122	176.122.149.127	2020-05-15	2020-05-15	Ransomware
123	89.187.161.72	2020-05-15	2020-05-15	Ransomware
124	104.233.224.227	2020-05-15	2020-05-15	Ransomware
125	104.224.185.36	2020-05-15	2020-05-15	Ransomware
126	66.98.126.203	2020-05-18	2020-05-18	Ransomware
127	140.82.23.214	2020-05-18	2020-05-18	Ransomware
128	66.42.59.58	2020-05-18	2020-05-19	C2 Server
129	185.161.209.162	2020-05-20	2020-05-20	C2 Server
130	83.97.20.74	2020-05-22	2020-05-22	C2 Server
131	185.157.78.135	2020-05-27	2020-05-27	C2 Server
132	45.122.138.74	2020-06-10	2020-06-10	C2 Server
133	198.23.200.239	2020-06-15	2020-06-15	Botnet
134	83.97.20.75	2020-07-17	2020-07-17	C2 Server
135	67.216.209.142	2020-07-17	2020-07-17	C2 Server
136	185.10.68.169	2020-09-14	2020-09-14	C2 Server
137	161.35.76.1	2020-09-22	2020-09-22	C2 Server
138	160.19.50.182	2020-12-08	2020-12-08	C2 Server
139	155.138.241.129	2020-12-14	2020-12-14	C2 Server
140	149.248.14.53	2020-12-14	2020-12-19	C2 Server
141	45.77.11.47	2021-01-18	2021-01-18	C2 Server
142	95.217.1.81	2021-02-05	2021-02-05	C2 Server
143	218.253.251.74	2021-03-12	2021-03-12	C2 Server
144	149.154.159.153	2021-03-23	2021-03-23	Ransomware
145	46.17.63.244	2021-03-23	2021-03-23	Ransomware
146	172.96.186.55	2021-03-23	2021-03-23	Ransomware
147	101.36.120.180	2021-03-23	2021-03-23	C2 Server
148	45.86.163.78	2021-03-23	2021-03-23	Ransomware
149	80.209.233.56	2021-03-23	2021-03-23	Ransomware
150	123.240.229.42	2021-03-25	2021-03-25	C2 Server
151	61.216.99.164	2021-03-26	2021-03-26	C2 Server
152	202.182.123.69	2021-04-13	2021-04-13	C2 Server
153	45.76.206.240	2021-04-13	2021-04-13	C2 Server
154	193.200.130.156	2021-04-15	2021-04-15	C2 Server
155	185.118.166.205	2021-04-15	2021-04-15	C2 Server
156	193.34.166.213	2021-02-25	2021-04-15	C2 Server
157	172.245.81.111	2021-04-15	2021-04-15	C2 Server
158	178.20.41.149	2021-04-23	2021-04-23	Ransomware
159	45.144.29.185	2021-04-23	2021-04-23	Ransomware
160	220.130.228.251	2021-05-04	2021-05-04	C2 Server
161	24.135.255.238	2021-06-08	2021-06-08	C2 Server
162	172.245.8.105	2021-06-09	2021-06-09	Phishing
163	23.95.227.11	2021-06-09	2021-06-09	Phishing
164	172.245.162.122	2021-06-09	2021-06-09	Phishing
165	198.46.202.136	2021-06-11	2021-06-11	Phishing
166	74.120.172.129	2021-06-17	2021-06-17	C2 Server
167	144.34.213.22	2021-06-17	2021-06-17	C2 Server
168	23.95.9.233	2021-06-22	2021-06-22	Phishing
169	172.245.162.15	2021-06-29	2021-06-29	Phishing
170	139.180.194.228	2021-07-09	2021-07-09	C2 Server
171	172.245.186.101	2021-07-30	2021-07-30	C2 Server
172	23.94.183.107	2021-08-06	2021-08-06	Phishing
173	149.28.158.189	2021-08-20	2021-08-20	C2 Server
174	107.148.146.127	2021-08-20	2021-08-20	Phishing
175	185.153.199.169	2021-09-10	2021-09-10	C2 Server
176	101.32.223.116	2021-09-12	2021-09-12	C2 Server
177	23.94.7.115	2021-09-16	2021-09-16	Phishing
178	103.228.111.60	2021-09-22	2021-09-22	C2 Server
179	45.84.0.175	2021-09-29	2021-09-29	C2 Server
180	1.1.2.254	2021-12-24	2021-12-24	C2 Server
181	23.106.124.152	2022-01-07	2022-01-07	C2 Server
182	202.58.105.38	2022-03-11	2022-03-11	C2 Server
183	45.76.177.188	2022-03-16	2022-03-16	C2 Server
184	107.170.109.82	2022-03-28	2022-03-28	C2 Server
185	45.76.52.224	2022-04-06	2022-04-06	C2 Server
186	103.149.26.237	2022-04-01	2022-04-12	C2 Server
187	209.141.51.6	2022-04-13	2022-04-13	C2 Server
188	45.117.103.119	2022-04-20	2022-04-20	C2 Server
189	66.42.39.184	2022-05-11	2022-05-11	C2 Server
190	43.155.60.197	2022-06-14	2022-06-14	C2 Server
191	141.98.168.248	2022-06-15	2022-06-15	C2 Server
192	210.56.59.35	2022-07-11	2022-07-11	C2 Server
193	139.59.247.94	2022-07-18	2022-07-18	C2 Server
194	185.207.155.146	2022-07-28	2022-07-28	C2 Server
195	114.115.141.15	2022-08-03	2022-08-03	C2 Server
196	180.215.218.130	2022-08-04	2022-08-04	Phishing
197	180.215.218.135	2022-08-04	2022-08-04	Phishing
198	180.215.218.134	2022-08-04	2022-08-04	Phishing
199	14.128.35.27	2022-08-04	2022-08-04	Phishing
200	14.128.35.25	2022-08-04	2022-08-04	Phishing
201	14.128.35.24	2022-08-04	2022-08-04	Phishing
202	14.128.35.23	2022-08-04	2022-08-04	Phishing
203	14.128.35.22	2022-08-04	2022-08-04	Phishing
204	14.128.35.21	2022-08-04	2022-08-04	Phishing
205	14.128.35.20	2022-08-04	2022-08-04	Phishing
206	14.128.35.19	2022-08-04	2022-08-04	Phishing
207	14.128.35.18	2022-08-04	2022-08-04	Phishing
208	156.248.153.167	2022-08-05	2022-08-05	Phishing
209	14.128.35.28	2022-08-07	2022-08-07	Phishing
210	14.128.35.29	2022-08-07	2022-08-07	Phishing
211	156.248.153.155	2022-08-08	2022-08-08	Phishing
212	156.248.153.165	2022-08-08	2022-08-08	Phishing
213	118.107.45.189	2022-08-09	2022-08-09	Phishing
214	118.107.45.188	2022-08-09	2022-08-09	Phishing
215	118.107.45.187	2022-08-09	2022-08-09	Phishing
216	118.107.45.186	2022-08-09	2022-08-09	Phishing
217	118.107.45.179	2022-08-09	2022-08-09	Phishing
218	118.107.45.185	2022-08-09	2022-08-09	Phishing
219	118.107.45.184	2022-08-09	2022-08-09	Phishing
220	118.107.45.183	2022-08-09	2022-08-09	Phishing
221	118.107.45.181	2022-08-09	2022-08-09	Phishing
222	156.248.153.170	2022-08-09	2022-08-09	Phishing
223	156.248.153.166	2022-08-09	2022-08-09	Phishing
224	156.248.153.162	2022-08-09	2022-08-09	Phishing
225	156.248.153.159	2022-08-09	2022-08-09	Phishing
226	118.107.45.182	2022-08-09	2022-08-09	Phishing
227	118.107.45.180	2022-08-09	2022-08-09	Phishing
228	156.248.153.168	2022-08-09	2022-08-09	Phishing
229	118.107.45.178	2022-08-09	2022-08-09	Phishing
230	118.107.45.190	2022-08-09	2022-08-09	Phishing
231	156.248.153.172	2022-08-11	2022-08-11	Phishing
232	14.128.35.26	2022-08-11	2022-08-11	Phishing
233	156.248.153.173	2022-08-17	2022-08-17	Phishing
234	156.248.153.178	2022-08-17	2022-08-17	Phishing
235	156.248.153.181	2022-08-17	2022-08-17	Phishing
236	13.229.3.203	2022-08-18	2022-08-18	C2 Server
237	52.220.121.212	2022-08-18	2022-08-18	C2 Server
238	60.205.0.192	2022-08-19	2022-08-19	Phishing
239	38.54.23.18	2022-08-19	2022-08-19	Phishing
240	156.248.153.174	2022-08-22	2022-08-22	Phishing
241	156.248.153.176	2022-08-22	2022-08-22	Phishing
242	156.248.153.177	2022-08-22	2022-08-22	Phishing
243	118.107.25.231	2022-08-22	2022-08-22	Phishing
244	110.34.181.166	2022-08-22	2022-08-22	Phishing
245	156.248.153.171	2022-08-22	2022-08-22	Phishing
246	89.38.225.151	2022-09-05	2022-09-05	C2 Server
247	103.179.243.142	2022-09-14	2022-09-14	Phishing
248	206.188.197.130	2022-09-14	2022-09-14	C2 Server
